ID,Organisation,Sector,Subsector,Service,Province_CODE,Municipality_CODE,Barangay,Status,Beneficiaries,Beneficiary_type
1,PRC,Health,PSS,Psychosocial Support,257,25701,San Leonardo,Finished,100,Individuals
2,IFRC,Relief,Non-Food Item,Blanket,215,21502,Pusian,Finished,140,Families
3,IFRC,Relief,Non-Food Item,Blanket,215,21502,Agani,Finished,205,Families
4,PRC,Health,PSS,Psychosocial Support,215,21502,Casilian,Finished,171,Individuals
5,Singapore Red Cross,Relief,Food Items,Food (2-3 day) Ration,215,21502,Murong,Finished,3,Families
6,IFRC,WASH,Non-Food Item,Hygiene Kit,215,21502,Mocag,Finished,128,Families
7,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,215,21502,Sta. Rosa,Finished,230,Families
8,NZAID,Relief,Non-Food Item,Mosquito Net,215,21502,Guindazan Central,Finished,1,Families
9,NZAID,WASH,Non-Food Item,Jerry Can (20L),215,21502,Otucan Sur,Finished,1,Families
10,PRC,Relief,Non-Food Item,Plastic Mat,215,21502,Mayag,Finished,1,Families
11,PRC,Relief,Non-Food Item,Blanket,215,21502,Abatan,Finished,1,Families
12,NZAID,WASH,Non-Food Item,Jerry Can (20L),215,21502,Abatan,Finished,1,Families
13,PRC,Relief,Non-Food Item,Plastic Mat,215,21502,Gueday,Finished,7,Families
14,IFRC,WASH,Hygiene Promotion,Hygiene Promotion,215,21502,Pusian,Finished,700,Individuals
15,IFRC,Assessment,Assessment,Assessment,250,25001,,Finished,1,Municipality
16,PRC,Relief,Food Items,Food (2-3 day) Ration,133,13302,Samara,Finished,20,Families
17,PRC,Relief,Food Items,Food (2-3 day) Ration,133,13302,Sta. Lucia,Finished,10,Families
18,PRC,Relief,Food Items,Food (2-3 day) Ration,133,13302,San Benito Sur,Finished,18,Families
19,PRC,Relief,Food Items,Food (2-3 day) Ration,133,13302,Sto. Rosario West,Finished,6,Families
20,PRC,Relief,Food Items,Food (2-3 day) Ration,133,13302,Alaska,Finished,12,Families
21,PRC,Relief,Food Items,Food (2-3 day) Ration,133,13302,Sto. Rosario West,Finished,5,Families
22,PRC,Relief,Food Items,Food (2-3 day) Ration,133,13302,Sta. Lucia,Finished,2,Families
23,PRC,Relief,Food Items,Food (2-3 day) Ration,133,13302,San Benito Sur,Finished,3,Families
24,PRC,Relief,Food Items,Food (2-3 day) Ration,133,13302,Alaska,Finished,32,Families
25,IFRC,Assessment,Assessment,Assessment,1427,142711,,Finished,1,Municipality
26,PRC,Health,PSS,Welfare Desk,128,12802,,Finished,1,Evacuation Center
27,PRC,Relief,Non-Food Item,Plastic Mat,128,12802,Balili,Finished,1,Families
28,PRC,Relief,Non-Food Item,Plastic Mat,128,12802,Casilian,Finished,36,Families
29,PRC,Assessment,Assessment,Assessment,128,12803,,Finished,1,Municipality
30,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,250,25003,Careb,Finished,14,Families
31,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,250,25003,Sta. Cruz,Finished,5,Families
32,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,250,25003,Paniki,Finished,10,Families
33,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,250,25003,Villacoloma,Finished,8,Families
34,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,250,25003,Villaros,Finished,9,Families
35,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,250,25003,Quirino,Finished,4,Families
36,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,250,25003,Lantap,Finished,5,Families
37,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,250,25003,Tuao North,Finished,8,Families
38,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,250,25003,Tuao South,Finished,5,Families
39,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,250,25003,Murong,Finished,7,Families
40,PRC,Relief,Non-Food Item,Plastic Mat,250,25003,Dalican,Finished,5,Families
41,NZAID,WASH,Non-Food Item,Hygiene Kit,250,25003,Samoki,Finished,1,Families
42,NZAID,WASH,Non-Food Item,Hygiene Kit,250,25003,Poblacion,Finished,5,Families
43,PRC,Relief,Hot Meals,Hot Meals,250,25003,,Finished,334,Individuals
44,IFRC,Relief,Non-Food Item,Blanket,250,25003,Cabaruan,Finished,26,Families
45,IFRC,Shelter,Non-Food Item,Tarpaulin,250,25003,Cabaruan,Finished,26,Families
47,IFRC,Relief,Non-Food Item,Blanket,215,21506,Laya East ,Finished,7,Families
48,Spanish RC,Assessment,Assessment,Detailed Assessment,215,21506,,Finished,1,Municipality
49,IFRC,WASH,Non-Food Item,Jerry Can (20L),215,21506,Ipil,Finished,52,Families
50,NZAID,WASH,Non-Food Item,Jerry Can (20L),215,21506,Agbannawag,Finished,31,Families
51,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,215,21506,Sacpil,Finished,147,Families
52,IFRC,Shelter,Non-Food Item,Tarpaulin,215,21506,Mocag,Finished,128,Families
53,IFRC,WASH,Non-Food Item,Hygiene Kit,215,21506,Mabini,Finished,78,Families
54,IFRC,Relief,Non-Food Item,Blanket,215,21506,Mabini,Finished,78,Families
55,IFRC,Relief,Non-Food Item,Mosquito Net,215,21506,Mabini,Finished,78,Families
56,IFRC,Relief,Non-Food Item,Plastic Mat,215,21506,Mabini,Finished,78,Families
57,IFRC,WASH,Non-Food Item,Jerry Can (20L),215,21506,Mabini,Finished,78,Families
58,IFRC,Shelter,Non-Food Item,Tarpaulin,215,21506,Mabini,Finished,78,Families
59,PRC,WASH,Hygiene Promotion,Hygiene Promotion,215,21506,Mocag,Finished,640,Individuals
60,PRC,WASH,Hygiene Promotion,Hygiene Promotion,215,21506,Mabini,Finished,390,Individuals
61,PRC,Health,PSS,Welfare Desk,308,30803,San Jose,Finished,1,Chapter
62,IFRC,Assessment,Assessment,Assessment,377,37701,,Finished,1,Municipality
63,PRC,Health,PSS,Welfare Desk,377,37701,Buhangin,Finished,1,Chapter
64,PRC,WASH,Hygiene Promotion,Hygiene Promotion,377,37701,Zabali,Finished,241,Individuals
65,PRC,WASH,Hygiene Promotion,Hygiene Promotion,377,37701,Reserva,Finished,51,Individuals
66,PRC,Relief,Hot Meals,Biscuits,377,37701,Reserva,Finished,200,Individuals
67,PRC,Relief,Hot Meals,Biscuits,377,37701,Zabali,Finished,242,Individuals
68,PRC,Relief,Hot Meals,Hot Meals,377,37701,Reserva,Finished,200,Individuals
69,PRC,Relief,Hot Meals,Hot Meals,377,37701,Zabali,Finished,242,Individuals
70,IFRC,Assessment,Assessment,Assessment,1401,140101,,Finished,1,Municipality
72,IFRC,Relief,Non-Food Item,Blanket,1401,140101,Calinaoan Sur,Finished,37,Families
73,IFRC,Relief,Non-Food Item,Blanket,1401,140101,Sto. Rosario,Finished,30,Families
74,IFRC,Shelter,Non-Food Item,Tarpaulin,1401,140101,Sto. Rosario,Finished,30,Families
75,PRC,Assessment,Assessment,Assessment,128,12804,,Finished,1,Municipality
76,PRC,Relief,Non-Food Item,Blanket,1444,144402,Gundazan Norte,Finished,1,Families
77,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Gundazan Norte,Finished,1,Families
78,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Gundazan Norte,Finished,1,Families
79,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Gundazan Norte,Finished,1,Families
80,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Gundazan Norte,Finished,1,Families
81,PRC,Relief,Non-Food Item,Blanket,1444,144402,Monamon Norte,Finished,2,Families
82,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Monamon Norte,Finished,2,Families
83,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Monamon Norte,Finished,2,Families
84,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Monamon Norte,Finished,2,Families
85,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Monamon Norte,Finished,2,Families
86,PRC,Relief,Non-Food Item,Blanket,1444,144402,Bagnen Oriente,Finished,3,Families
87,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Bagnen Oriente,Finished,3,Families
88,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Bagnen Oriente,Finished,3,Families
89,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Bagnen Oriente,Finished,3,Families
90,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Bagnen Oriente,Finished,3,Families
91,PRC,Relief,Non-Food Item,Blanket,1444,144402,Tapapan,Finished,4,Families
92,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Tapapan,Finished,4,Families
93,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Tapapan,Finished,4,Families
94,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Tapapan,Finished,4,Families
95,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Tapapan,Finished,4,Families
96,PRC,Relief,Non-Food Item,Blanket,1444,144402,Bila,Finished,1,Families
97,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Bila,Finished,1,Families
98,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Bila,Finished,1,Families
99,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Bila,Finished,1,Families
100,IFRC,WASH,Non-Food Item,Hygiene Kit,1444,144402,Concepcion,Finished,19,Families
101,IFRC,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Santor,Finished,46,Families
102,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Monamon Sur,Finished,2,Families
103,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Monamon Sur,Finished,2,Families
104,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Monamon Sur,Finished,2,Families
105,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Monamon Sur,Finished,2,Families
106,PRC,Relief,Non-Food Item,Blanket,1444,144402,Gundazan Sur,Finished,2,Families
107,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Gundazan Sur,Finished,2,Families
108,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Gundazan Sur,Finished,2,Families
109,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Gundazan Sur,Finished,2,Families
110,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Gundazan Sur,Finished,2,Families
111,PRC,Relief,Non-Food Item,Blanket,1444,144402,Leseb,Finished,1,Families
112,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Leseb,Finished,1,Families
113,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Leseb,Finished,1,Families
114,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Leseb,Finished,1,Families
115,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Leseb,Finished,1,Families
116,PRC,Relief,Non-Food Item,Blanket,1444,144402,Lagawa,Finished,1,Families
117,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Lagawa,Finished,1,Families
118,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Lagawa,Finished,1,Families
119,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Lagawa,Finished,1,Families
120,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Lagawa,Finished,1,Families
121,PRC,Relief,Non-Food Item,Blanket,1444,144402,Balintaugan,Finished,2,Families
122,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Balintaugan,Finished,2,Families
123,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Balintaugan,Finished,2,Families
124,IFRC,Relief,Non-Food Item,Blanket,1444,144402,San Nicolas,Finished,23,Families
125,IFRC,Relief,Non-Food Item,Blanket,1444,144402,San Macario,Finished,45,Families
126,IFRC,Relief,Non-Food Item,Blanket,1444,144402,Aga,Finished,24,Families
127,IFRC,WASH,Non-Food Item,Hygiene Kit,1444,144402,Villa Luz,Finished,46,Families
128,IFRC,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Ragan Sur,Finished,44,Families
129,IFRC,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Ragan Norte,Finished,31,Families
130,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Guindazan Central,Finished,1,Families
131,PRC,Relief,Non-Food Item,Blanket,1444,144402,Mount Data,Finished,1,Families
132,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Mount Data,Finished,1,Families
133,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Mount Data,Finished,1,Families
134,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Mount Data,Finished,1,Families
135,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Mount Data,Finished,1,Families
136,PRC,Relief,Non-Food Item,Blanket,1444,144402,Otucan Sur,Finished,1,Families
137,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Otucan Sur,Finished,1,Families
138,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Otucan Sur,Finished,1,Families
139,PRC,Relief,Non-Food Item,Doll Shoes,1444,144402,San Juan,Finished,168,Students
140,PRC,Assessment,Assessment,Assessment,1444,144402,,Finished,1,Municipality
141,PRC,Health,PSS,Psychosocial Support,1444,144402,North Poblacion,Finished,15,Individuals
142,PRC,Relief,Hot Meals,Biscuits,1444,144402,North Poblacion,Finished,103,Individuals
143,PRC,Relief,Hot Meals,Hot Meals,1444,144402,Roma Norte,Finished,300,Individuals
144,PRC,Relief,Non-Food Item,Blanket,1444,144402,,Finished,60,Families
145,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Mabaay,Finished,1,Families
146,PRC,Relief,Non-Food Item,Blanket,1444,144402,Sadsadan,Finished,1,Families
147,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Sadsadan,Finished,1,Families
148,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Sadsadan,Finished,1,Families
149,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Sadsadan,Finished,1,Families
150,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Sadsadan,Finished,1,Families
151,PRC,Relief,Non-Food Item,Blanket,1444,144402,Mayag,Finished,1,Families
152,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Mayag,Finished,1,Families
153,IFRC,Assessment,Assessment,Assessment,1444,144402,,Finished,1,Municipality
154,PRC,Health,PSS,Welfare Desk,1444,144402,"Barangay No. 1, San Lorenzo",Finished,1,Evacuation Center
155,PRC,Relief,Hot Meals,Bread,1444,144402,Caaoacan,Finished,109,Individuals
156,IFRC,Relief,Non-Food Item,Mosquito Net,1444,144402,Pusian,Finished,140,Families
157,IFRC,Relief,Non-Food Item,Mosquito Net,1444,144402,Agani,Finished,205,Families
158,Singapore Red Cross,Relief,Food Items,Food (2-3 day) Ration,1444,144402,Paniki,Finished,5,Families
159,IFRC,Relief,Non-Food Item,Blanket,1444,144402,Mocag,Finished,128,Families
161,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Guindazan Central,Finished,1,Families
162,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Bagnen Proper,Finished,1,Families
163,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Bagnen Proper,Finished,1,Families
164,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Bagnen Proper,Finished,1,Families
165,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Bagnen Proper,Finished,1,Families
166,PRC,Relief,Non-Food Item,Blanket,1444,144402,Poblacion,Finished,1,Families
167,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144402,Poblacion,Finished,1,Families
168,PRC,Relief,Non-Food Item,Plastic Mat,1444,144402,Poblacion,Finished,1,Families
169,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144402,Poblacion,Finished,1,Families
170,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144402,Poblacion,Finished,1,Families
171,IFRC,Assessment,Assessment,Assessment,250,25005,,Finished,1,Municipality
172,PRC,Relief,Hot Meals,Hot Meals,250,25005,Salvacion,Finished,808,Individuals
173,PRC,Relief,Non-Food Item,Blanket,1444,144403,Tamboan,Finished,6,Families
174,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144403,Tamboan,Finished,6,Families
175,PRC,Relief,Non-Food Item,Plastic Mat,1444,144403,Tamboan,Finished,6,Families
176,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144403,Tamboan,Finished,6,Families
177,NZAID,WASH,Non-Food Item,Hygiene Kit,1444,144403,Tamboan,Finished,6,Families
178,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144403,Tamboan,Finished,6,Families
179,PRC,Relief,Non-Food Item,Blanket,1444,144403,Gueday,Finished,7,Families
180,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144403,Gueday,Finished,7,Families
181,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144403,Otucan Sur,Finished,1,Families
182,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144403,Gueday,Finished,7,Families
